Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),
Serial Number:,MY58106377,,-0.0498375,-0.00561930239200592,
Firmware Version:,02.66.2024012316,,-0.0498220998731,-0.0180816128849983,
Start Time:,2025-06-11 15:21:15.017,,-0.0498066997462,-0.0180816128849983,
,,,-0.0497912996193,-0.0180816128849983,
Analog Sample Count:,4675,,-0.0497758994924,-0.0180816128849983,
Function Sample Count:,0,,-0.0497604993655,-0.0180816128849983,
Waveform Memory Sample Count:,0,,-0.0497450992386,-0.0180816128849983,
Digital Sample Count:,0,,-0.0497296991117,-0.0180816128849983,
,,,-0.0497142989848,-0.0180816128849983,
Setup Text Information:,,,-0.0496988988579,-0.0305439233779907,
ANALOG,,,-0.049683498731,-0.0180816128849983,
Channel 1,,,-0.0496680986041,-0.0180816128849983,
Scale,310 mV/,,-0.0496526984772,-0.0180816128849983,
Pos,368.25 mV,,-0.0496372983503,-0.0180816128849983,
Coup,,,-0.0496218982234,-0.0180816128849983,
BW,Off,,-0.0496064980965,-0.0180816128849983,
Inv,Off,,-0.0495910979696,-0.0180816128849983,
Imp,1M Ohm,,-0.0495756978427,-0.0180816128849983,
Trace Label,1,,-0.0495602977158,-0.0180816128849983,
Probe,1,,-0.0495448975889,-0.0180816128849983,
Skew,0 s,,-0.049529497462,-0.0180816128849983,
,,,-0.0495140973351,-0.0305439233779907,
MATH,,,-0.0494986972082,-0.00561930239200592,
REFERENCE WAVEFORM,,,-0.0494832970813,-0.00561930239200592,
TRIGGER,,,-0.0494678969544,-0.0180816128849983,
Sweep Mode,AUTO,,-0.0494524968275,-0.0180816128849983,
Coup,DC,,-0.0494370967006,-0.0180816128849983,
Noise Rej,Off,,-0.0494216965737,-0.0305439233779907,
HF Rej,Off,,-0.0494062964468,-0.0180816128849983,
Holdoff,40.0 ns,,-0.0493908963199,-0.0305439233779907,
Mode,GLIT,,-0.049375496193,-0.0180816128849983,
Source,CHAN1,,-0.0493600960661,-0.0180816128849983,
Slope,POS,,-0.0493446959392,-0.00561930239200592,
Level,0 V V,,-0.0493292958123,-0.0180816128849983,
,,,-0.0493138956854,-0.0180816128849983,
HORIZONTAL,,,-0.0492984955585,-0.0180816128849983,
Mode,MAIN,,-0.0492830954316,-0.00561930239200592,
Ref,CENT,,-0.0492676953047,-0.0180816128849983,
Main Scale,7.2 ms/,,-0.0492522951778,-0.0180816128849983,
Main Delay,-13.8 ms,,-0.0492368950509,-0.0180816128849983,
,,,-0.049221494924,-0.0180816128849983,
ACQUISITION,,,-0.0492060947971,-0.0180816128849983,
Mode,NORM,,-0.0491906946702,-0.0305439233779907,
RealTime,On,,-0.0491752945433,-0.00561930239200592,
Vectors,On,,-0.0491598944164,-0.0180816128849983,
Persistence,Off,,-0.0491444942895,-0.0180816128849983,
,,,-0.0491290941626,-0.0180816128849983,
MEASUREMENTS,,,-0.0491136940357,-0.0180816128849983,
Amplitude(1),,,-0.0490982939088,-0.0180816128849983,
Cur,0.96 V,,-0.0490828937819,-0.0305439233779907,
,,,-0.049067493655,-0.0180816128849983,
Average - N Cycles(1),,,-0.0490520935281,-0.0180816128849983,
Cur,No signal,,-0.0490366934012,-0.0305439233779907,
,,,-0.0490212932743,-0.0180816128849983,
Pk-Pk(1),,,-0.0490058931474,-0.0180816128849983,
Cur,1.67 V,,-0.0489904930205,-0.0180816128849983,
,,,-0.0489750928936,-0.0180816128849983,
,,,-0.0489596927667,-0.0180816128849983,
,,,-0.0489442926398,-0.0180816128849983,
,,,-0.0489288925129,-0.0180816128849983,
,,,-0.048913492386,-0.0180816128849983,
,,,-0.0488980922591,-0.00561930239200592,
,,,-0.0488826921322,-0.0180816128849983,
,,,-0.0488672920053,-0.0180816128849983,
,,,-0.0488518918784,-0.00561930239200592,
,,,-0.0488364917515,-0.0180816128849983,
,,,-0.0488210916246,-0.0180816128849983,
,,,-0.0488056914977,-0.0180816128849983,
,,,-0.0487902913708,-0.0180816128849983,
,,,-0.0487748912439,-0.0180816128849983,
,,,-0.048759491117,-0.0180816128849983,
,,,-0.0487440909901,-0.00561930239200592,
,,,-0.0487286908632,-0.0180816128849983,
,,,-0.0487132907363,-0.0180816128849983,
,,,-0.0486978906094,-0.0180816128849983,
,,,-0.0486824904825,-0.0180816128849983,
,,,-0.0486670903556,-0.00561930239200592,
,,,-0.0486516902287,-0.00561930239200592,
,,,-0.0486362901018,-0.00561930239200592,
,,,-0.0486208899749,-0.0180816128849983,
,,,-0.048605489848,-0.0180816128849983,
,,,-0.0485900897211,-0.00561930239200592,
,,,-0.0485746895942,-0.0180816128849983,
,,,-0.0485592894673,-0.00561930239200592,
,,,-0.0485438893404,-0.0180816128849983,
,,,-0.0485284892135,-0.0180816128849983,
,,,-0.0485130890866,-0.00561930239200592,
,,,-0.0484976889597,-0.0305439233779907,
,,,-0.0484822888328,-0.00561930239200592,
,,,-0.0484668887059,-0.0180816128849983,
,,,-0.048451488579,-0.0180816128849983,
,,,-0.0484360884521,-0.0180816128849983,
