Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY58106377,,-0.043925,-0.149268865585327,-0.0141131095588207,,-0.043925,-0.136718736961484,
Firmware Version:,02.66.2024012316,,-0.0439132999594,-0.149268865585327,-0.0141131095588207,,-0.0439132999594,-0.156249985098839,
Start Time:,2025-06-11 15:48:17.111,,-0.0439015999188,-0.149268865585327,-0.0141131095588207,,-0.0439015999188,-0.156249985098839,
,,,-0.0438898998782,-0.149268865585327,-0.0141131095588207,,-0.0438898998782,-0.136718736961484,
Analog Sample Count:,4786,,-0.0438781998376,-0.149268865585327,-0.0141131095588207,,-0.0438781998376,-0.136718736961484,
Function Sample Count:,4786,,-0.043866499797,-0.149268865585327,-0.0141131095588207,,-0.043866499797,-0.136718736961484,
Waveform Memory Sample Count:,0,,-0.0438547997564,-0.149268865585327,-0.0141131095588207,,-0.0438547997564,-0.136718736961484,
Digital Sample Count:,0,,-0.0438430997158,-0.149268865585327,-0.0141131095588207,,-0.0438430997158,-0.156249985098839,
,,,-0.0438313996752,-0.149268865585327,-0.0141131095588207,,-0.0438313996752,-0.156249985098839,
Setup Text Information:,,,-0.0438196996346,-0.149268865585327,-0.0141131095588207,,-0.0438196996346,-0.156249985098839,
ANALOG,,,-0.043807999594,-0.149268865585327,-0.0141131095588207,,-0.043807999594,-0.156249985098839,
Channel 1,,,-0.0437962995534,-0.149268865585327,-0.0141131095588207,,-0.0437962995534,-0.136718736961484,
Scale,3.5 V/,,-0.0437845995128,-0.149268865585327,-0.0141131095588207,,-0.0437845995128,-0.156249985098839,
Pos,6.6045 V,,-0.0437728994722,-0.149268865585327,-0.0141131095588207,,-0.0437728994722,-0.156249985098839,
Coup,,,-0.0437611994316,-0.149268865585327,-0.0141131095588207,,-0.0437611994316,-0.136718736961484,
BW,Off,,-0.043749499391,-0.149268865585327,-0.0141131095588207,,-0.043749499391,-0.136718736961484,
Inv,Off,,-0.0437377993504,-0.149268865585327,-0.0141131095588207,,-0.0437377993504,-0.156249985098839,
Imp,1M Ohm,,-0.0437260993098,-0.149268865585327,-0.0141131095588207,,-0.0437260993098,-0.156249985098839,
Trace Label,1,,-0.0437143992692,-0.149268865585327,-0.0141131095588207,,-0.0437143992692,-0.136718736961484,
Probe,1,,-0.0437026992286,-0.149268865585327,-0.0141131095588207,,-0.0437026992286,-0.136718736961484,
Skew,0 s,,-0.043690999188,-0.149268865585327,-0.0141131095588207,,-0.043690999188,-0.156249985098839,
,,,-0.0436792991474,-0.00856535136699677,0.00236930511891842,,-0.0436792991474,-0.156249985098839,
Channel 2,,,-0.0436675991068,-0.149268865585327,-0.0305955242365599,,-0.0436675991068,-0.136718736961484,
Scale,410 mV/,,-0.0436558990662,-0.149268865585327,-0.0141131095588207,,-0.0436558990662,-0.136718736961484,
Pos,348.5 mV,,-0.0436441990256,-0.149268865585327,-0.0305955242365599,,-0.0436441990256,-0.136718736961484,
Coup,,,-0.043632498985,-0.149268865585327,-0.0141131095588207,,-0.043632498985,-0.156249985098839,
BW,Off,,-0.0436207989444,-0.149268865585327,-0.0141131095588207,,-0.0436207989444,-0.136718736961484,
Inv,Off,,-0.0436090989038,-0.149268865585327,-0.0141131095588207,,-0.0436090989038,-0.156249985098839,
Imp,1M Ohm,,-0.0435973988632,-0.149268865585327,-0.0141131095588207,,-0.0435973988632,-0.136718736961484,
Trace Label,2,,-0.0435856988226,-0.149268865585327,-0.0141131095588207,,-0.0435856988226,-0.156249985098839,
Probe,1,,-0.043573998782,-0.149268865585327,-0.0141131095588207,,-0.043573998782,-0.156249985098839,
Skew,0 s,,-0.0435622987414,-0.149268865585327,-0.0141131095588207,,-0.0435622987414,-0.156249985098839,
,,,-0.0435505987008,-0.149268865585327,-0.0141131095588207,,-0.0435505987008,-0.156249985098839,
MATH,,,-0.0435388986602,-0.149268865585327,-0.0141131095588207,,-0.0435388986602,-0.273437473922968,
Ch 1-Ch 2,,,-0.0435271986196,-0.149268865585327,-0.0141131095588207,,-0.0435271986196,-0.156249985098839,
Scale,10 /,,-0.043515498579,-0.149268865585327,-0.0141131095588207,,-0.043515498579,-0.136718736961484,
Offset,0 ,,-0.0435037985384,-0.149268865585327,-0.0141131095588207,,-0.0435037985384,-0.136718736961484,
,,,-0.0434920984978,-0.149268865585327,-0.0141131095588207,,-0.0434920984978,-0.156249985098839,
REFERENCE WAVEFORM,,,-0.0434803984572,-0.149268865585327,0.00236930511891842,,-0.0434803984572,-0.156249985098839,
TRIGGER,,,-0.0434686984166,-0.149268865585327,-0.0141131095588207,,-0.0434686984166,-0.156249985098839,
Sweep Mode,AUTO,,-0.043456998376,-0.149268865585327,-0.0141131095588207,,-0.043456998376,-0.156249985098839,
Coup,DC,,-0.0434452983354,-0.149268865585327,-0.0141131095588207,,-0.0434452983354,-0.136718736961484,
Noise Rej,Off,,-0.0434335982948,-0.149268865585327,-0.0141131095588207,,-0.0434335982948,-0.136718736961484,
HF Rej,Off,,-0.0434218982542,-0.149268865585327,-0.0141131095588207,,-0.0434218982542,-0.156249985098839,
Holdoff,40.0 ns,,-0.0434101982136,-0.149268865585327,-0.0141131095588207,,-0.0434101982136,-0.136718736961484,
Mode,GLIT,,-0.043398498173,-0.149268865585327,-0.0141131095588207,,-0.043398498173,-0.156249985098839,
Source,CHAN1,,-0.0433867981324,-0.149268865585327,-0.0141131095588207,,-0.0433867981324,-0.156249985098839,
Slope,POS,,-0.0433750980918,-0.149268865585327,-0.0141131095588207,,-0.0433750980918,-0.136718736961484,
Level,0 V V,,-0.0433633980512,-0.00856535136699677,-0.0141131095588207,,-0.0433633980512,-0.156249985098839,
,,,-0.0433516980106,-0.149268865585327,-0.0305955242365599,,-0.0433516980106,-0.136718736961484,
HORIZONTAL,,,-0.04333999797,-0.149268865585327,-0.0141131095588207,,-0.04333999797,-0.136718736961484,
Mode,MAIN,,-0.0433282979294,-0.149268865585327,-0.0141131095588207,,-0.0433282979294,-0.136718736961484,
Ref,CENT,,-0.0433165978888,-0.00856535136699677,-0.0141131095588207,,-0.0433165978888,-0.156249985098839,
Main Scale,5.6 ms/,,-0.0433048978482,-0.149268865585327,-0.0305955242365599,,-0.0433048978482,-0.136718736961484,
Main Delay,-15.9 ms,,-0.0432931978076,-0.149268865585327,-0.0141131095588207,,-0.0432931978076,-0.156249985098839,
,,,-0.043281497767,-0.149268865585327,-0.0141131095588207,,-0.043281497767,-0.156249985098839,
ACQUISITION,,,-0.0432697977264,-0.149268865585327,-0.0141131095588207,,-0.0432697977264,-0.156249985098839,
Mode,NORM,,-0.0432580976858,-0.149268865585327,-0.0141131095588207,,-0.0432580976858,-0.136718736961484,
RealTime,On,,-0.0432463976452,-0.149268865585327,-0.0141131095588207,,-0.0432463976452,-0.136718736961484,
Vectors,On,,-0.0432346976046,-0.149268865585327,-0.0141131095588207,,-0.0432346976046,-0.156249985098839,
