Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY58106377,,-0.0347953125,-0.0517490953207016,-0.012771375477314,,-0.0347953125,-0.0545935574918985,
Firmware Version:,02.66.2024012316,,-0.0347875125,-0.0517490953207016,-0.012771375477314,,-0.0347875125,0.00400018692016602,
Start Time:,2025-06-11 15:40:03.145,,-0.0347797125,-0.0517490953207016,-0.012771375477314,,-0.0347797125,-0.0545935574918985,
,,,-0.0347719125,-0.11285462975502,-0.012771375477314,,-0.0347719125,-0.0545935574918985,
Analog Sample Count:,5000,,-0.0347641125,-0.0517490953207016,-0.0324698686599731,,-0.0347641125,-0.0741248056292534,
Function Sample Count:,5000,,-0.0347563125,-0.0517490953207016,-0.0324698686599731,,-0.0347563125,-0.0545935574918985,
Waveform Memory Sample Count:,0,,-0.0347485125,-0.0517490953207016,-0.012771375477314,,-0.0347485125,-0.0545935574918985,
Digital Sample Count:,0,,-0.0347407125,-0.0517490953207016,-0.012771375477314,,-0.0347407125,-0.0545935574918985,
,,,-0.0347329125,-0.0517490953207016,-0.012771375477314,,-0.0347329125,-0.0545935574918985,
Setup Text Information:,,,-0.0347251125,-0.0517490953207016,-0.0324698686599731,,-0.0347251125,-0.0545935574918985,
ANALOG,,,-0.0347173125,-0.0517490953207016,-0.012771375477314,,-0.0347173125,-0.0545935574918985,
Channel 1,,,-0.0347095125,-0.0517490953207016,-0.012771375477314,,-0.0347095125,-0.0545935574918985,
Scale,1.52 V/,,-0.0347017125,-0.0517490953207016,-0.012771375477314,,-0.0347017125,-0.0741248056292534,
Pos,2.698 V,,-0.0346939125,-0.0517490953207016,-0.012771375477314,,-0.0346939125,-0.0545935574918985,
Coup,,,-0.0346861125,-0.11285462975502,-0.012771375477314,,-0.0346861125,-0.0545935574918985,
BW,Off,,-0.0346783125,-0.0517490953207016,-0.012771375477314,,-0.0346783125,-0.0545935574918985,
Inv,Off,,-0.0346705125,-0.0517490953207016,-0.012771375477314,,-0.0346705125,-0.0545935574918985,
Imp,1M Ohm,,-0.0346627125,-0.0517490953207016,-0.012771375477314,,-0.0346627125,-0.0741248056292534,
Trace Label,1,,-0.0346549125,-0.0517490953207016,-0.012771375477314,,-0.0346549125,0.00400018692016602,
Probe,1,,-0.0346471125,-0.0517490953207016,-0.012771375477314,,-0.0346471125,-0.0741248056292534,
Skew,0 s,,-0.0346393125,-0.0517490953207016,-0.012771375477314,,-0.0346393125,-0.0741248056292534,
,,,-0.0346315125,-0.0517490953207016,-0.012771375477314,,-0.0346315125,-0.0545935574918985,
Channel 2,,,-0.0346237125,-0.0517490953207016,-0.012771375477314,,-0.0346237125,-0.0545935574918985,
Scale,490 mV/,,-0.0346159125,-0.0517490953207016,-0.0324698686599731,,-0.0346159125,0.00400018692016602,
Pos,361.5 mV,,-0.0346081125,-0.0517490953207016,-0.012771375477314,,-0.0346081125,-0.0545935574918985,
Coup,,,-0.0346003125,-0.0517490953207016,-0.012771375477314,,-0.0346003125,-0.0545935574918985,
BW,Off,,-0.0345925125,-0.0517490953207016,-0.012771375477314,,-0.0345925125,-0.0545935574918985,
Inv,Off,,-0.0345847125,-0.0517490953207016,-0.012771375477314,,-0.0345847125,-0.0545935574918985,
Imp,1M Ohm,,-0.0345769125,-0.0517490953207016,-0.012771375477314,,-0.0345769125,-0.0545935574918985,
Trace Label,2,,-0.0345691125,-0.11285462975502,-0.012771375477314,,-0.0345691125,-0.0545935574918985,
Probe,1,,-0.0345613125,-0.11285462975502,-0.012771375477314,,-0.0345613125,-0.0545935574918985,
Skew,0 s,,-0.0345535125,-0.11285462975502,0.00692711770534515,,-0.0345535125,-0.0741248056292534,
,,,-0.0345457125,-0.0517490953207016,-0.0324698686599731,,-0.0345457125,-0.0545935574918985,
MATH,,,-0.0345379125,-0.0517490953207016,-0.0324698686599731,,-0.0345379125,-0.0545935574918985,
Ch 1-Ch 2,,,-0.0345301125,-0.11285462975502,-0.0324698686599731,,-0.0345301125,-0.0545935574918985,
Scale,10 /,,-0.0345223125,-0.0517490953207016,-0.012771375477314,,-0.0345223125,-0.0741248056292534,
Offset,2.504 ,,-0.0345145125,-0.0517490953207016,-0.012771375477314,,-0.0345145125,-0.0545935574918985,
,,,-0.0345067125,-0.0517490953207016,-0.012771375477314,,-0.0345067125,-0.0741248056292534,
REFERENCE WAVEFORM,,,-0.0344989125,-0.0517490953207016,-0.012771375477314,,-0.0344989125,0.00400018692016602,
TRIGGER,,,-0.0344911125,-0.11285462975502,-0.012771375477314,,-0.0344911125,-0.0545935574918985,
Sweep Mode,AUTO,,-0.0344833125,-0.0517490953207016,-0.012771375477314,,-0.0344833125,-0.0545935574918985,
Coup,DC,,-0.0344755125,-0.0517490953207016,-0.012771375477314,,-0.0344755125,-0.0741248056292534,
Noise Rej,Off,,-0.0344677125,-0.0517490953207016,-0.012771375477314,,-0.0344677125,-0.0741248056292534,
HF Rej,Off,,-0.0344599125,-0.11285462975502,-0.012771375477314,,-0.0344599125,-0.0545935574918985,
