Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY58106377,,-0.0081,-0.152826517820358,-0.0322841182351112,,-0.0081,-0.0926558282226324,
Firmware Version:,02.66.2024012316,,-0.00809025,-0.152826517820358,-0.0322841182351112,,-0.00809025,-0.131718324497342,
Start Time:,2025-06-11 15:36:24.265,,-0.0080805,-0.152826517820358,-0.0322841182351112,,-0.0080805,-0.131718324497342,
,,,-0.00807075,-0.152826517820358,-0.0322841182351112,,-0.00807075,-0.131718324497342,
Analog Sample Count:,4923,,-0.008061,-0.273429527878761,-0.0322841182351112,,-0.008061,-0.131718324497342,
Function Sample Count:,4923,,-0.00805125,-0.0322235077619553,-0.0322841182351112,,-0.00805125,-0.131718324497342,
Waveform Memory Sample Count:,0,,-0.0080415,-0.152826517820358,-0.0322841182351112,,-0.0080415,-0.131718324497342,
Digital Sample Count:,0,,-0.00803175,-0.0322235077619553,-0.0322841182351112,,-0.00803175,-0.131718324497342,
,,,-0.008022,-0.152826517820358,-0.0322841182351112,,-0.008022,-0.131718324497342,
Setup Text Information:,,,-0.00801225,-0.152826517820358,-0.0322841182351112,,-0.00801225,-0.0926558282226324,
ANALOG,,,-0.0080025,-0.152826517820358,-0.0322841182351112,,-0.0080025,-0.0926558282226324,
Channel 1,,,-0.00799275,-0.0322235077619553,-0.0322841182351112,,-0.00799275,-0.0926558282226324,
Scale,3 V/,,-0.007983,-0.152826517820358,0.00309277698397636,,-0.007983,-0.131718324497342,
Pos,4.9125 V,,-0.00797325,-0.0322235077619553,-0.0322841182351112,,-0.00797325,-0.0926558282226324,
Coup,,,-0.0079635,-0.152826517820358,-0.0322841182351112,,-0.0079635,-0.131718324497342,
BW,Off,,-0.00795375,-0.152826517820358,-0.0322841182351112,,-0.00795375,-0.131718324497342,
Inv,Off,,-0.007944,-0.152826517820358,-0.0322841182351112,,-0.007944,-0.0926558282226324,
Imp,1M Ohm,,-0.00793425,-0.152826517820358,-0.0676610134541988,,-0.00793425,-0.0926558282226324,
Trace Label,1,,-0.0079245,-0.0322235077619553,-0.0322841182351112,,-0.0079245,-0.131718324497342,
Probe,1,,-0.00791475,-0.0322235077619553,-0.0322841182351112,,-0.00791475,-0.131718324497342,
Skew,0 s,,-0.007905,-0.152826517820358,-0.0322841182351112,,-0.007905,-0.131718324497342,
,,,-0.00789525,-0.152826517820358,-0.0322841182351112,,-0.00789525,-0.131718324497342,
Channel 2,,,-0.0078855,-0.152826517820358,-0.0322841182351112,,-0.0078855,-0.131718324497342,
Scale,880 mV/,,-0.00787575,-0.152826517820358,-0.0322841182351112,,-0.00787575,-0.131718324497342,
Pos,604.5 mV,,-0.007866,-0.152826517820358,-0.0322841182351112,,-0.007866,-0.131718324497342,
Coup,,,-0.00785625,-0.0322235077619553,-0.0322841182351112,,-0.00785625,-0.0926558282226324,
BW,Off,,-0.0078465,-0.0322235077619553,-0.0322841182351112,,-0.0078465,-0.131718324497342,
Inv,Off,,-0.00783675,-0.0322235077619553,-0.0322841182351112,,-0.00783675,-0.131718324497342,
Imp,1M Ohm,,-0.007827,-0.152826517820358,-0.0322841182351112,,-0.007827,-0.0926558282226324,
Trace Label,2,,-0.00781725,-0.152826517820358,-0.0322841182351112,,-0.00781725,-0.131718324497342,
Probe,1,,-0.0078075,-0.152826517820358,-0.0322841182351112,,-0.0078075,-0.131718324497342,
